All_GPU_Delta_Reduction,64,0.266546,0.264098,0.265853
All_GPU_Delta_Reduction,128,0.250695,0.248491,0.249938
All_GPU_Delta_Reduction,238,0.259610,0.257969,0.258243
All_GPU_Delta_Reduction,512,0.241040,0.239876,0.240212
All_GPU_Delta_Reduction,1024,0.242341,0.240698,0.240925
All_GPU,32,0.323891,0.315628,0.368758
All_GPU,48,0.347406,0.338970,0.402360
All_GPU,64,0.255105,0.253434,0.253623
All_GPU,128,0.248426,0.246230,0.247690
All_GPU,238,0.258857,0.256847,0.257694
All_GPU,512,0.239967,0.238922,0.239026
All_GPU,1024,0.240169,0.239095,0.239345
All_GPU_Delta_Reduction,32,0.445132,0.443106,0.443850
All_GPU_Delta_Reduction,48,0.361078,0.353269,0.410987
All_GPU_Delta_Reduction,64,0.266975,0.265303,0.265563
All_GPU_Delta_Reduction,128,0.250649,0.248543,0.249671
All_GPU_Delta_Reduction,238,0.259187,0.257501,0.257814
All_GPU_Delta_Reduction,512,0.241407,0.239549,0.241456
All_GPU_Delta_Reduction,1024,0.243960,0.242326,0.242557
Naive,1024,1.069282,0.928483,1.299799
Transpose,1024,0.358869,0.354328,0.394727
Shmem,1024,0.413952,0.372735,0.567509
All_GPU,1024,0.241174,0.239525,0.239686
All_GPU_Delta_Reduction,1024,0.242561,0.240658,0.243346
